code,tonnage2015,tonnage2016,tonnage2017,tonnage2018,tonnage2019,value2015,value2016,value2017,value2018,value2019
Aberdeen City,471.499,345.591,335.793,160.713,398.107,1079.32479,833.12035,816.93875,553.07104,1025.71896
Aberdeenshire,158955.7,184114.247,191441.427,198272.038,168181.255,152437.6411,213016.7869,229080.7927,229255.9839,231334.0774
Angus,305.791,357.546,448.087,429.625,501.918,1383.69053,1863.81422,2284.73891,2578.63734,2689.70077
Argyll & Bute,7087.455,7827.106,6855.909,5973.627,6946.681,19691.99687,22777.42204,21968.14845,23461.59529,23661.226
Dumfries and Galloway,4685.506,4583.734,3093.644,2445.473,2485.566,5337.66931,8103.79105,7070.34645,5391.32753,4582.81131
East Lothian,615.136,669.495,878.254,822.163,630.825,2393.74969,2689.5528,3186.27292,3252.2577,2730.63598
Edinburgh City,63.397,223.38,145.474,126.498,109.769,254.5364,391.63797,361.7357,366.37373,439.78095
Fife,1170.265,1487.688,1799.734,1764.598,1943.157,3890.53581,4760.53894,6184.47059,7012.52674,7276.21118
Highland,55732.213,62204.175,58660.911,56052.471,55975.318,113451.3268,133903.0325,120245.6606,121523.1641,122498.3409
Inverclyde,81.971,66.41,158.513,67.789,69.724,355.42179,313.7598,440.31164,388.09966,408.61082
Moray,1137.985,1735.978,1956.031,1652.025,1659.462,3296.2141,5243.95276,6124.45406,5627.1444,5806.50969
Na h-Eileanan Siar,3456.716,4136.807,3946.75,3173.276,3294.338,10523.35748,13139.71005,13235.39934,12893.42448,16418.56188
North Ayrshire,1580.818,2112.526,549.844,697.542,736.127,4224.55451,5173.48847,1863.0173,3559.75187,3449.78337
Orkney,4399.783,4936.151,4224.194,3378.681,3058.433,7427.52807,9137.49376,9274.44556,9016.34206,8738.96577
Scottish Borders,1342.219,1360.025,1942.119,2072.709,1854.113,3856.60516,4179.90254,6137.88837,7064.55198,6363.51741
Shetland,72478.741,71557.382,61341.138,68144.903,50211.411,60822.01036,79129.52457,75842.39572,87283.10481,80905.09116
South Ayrshire,296.909,368.67,1762.304,1739.082,1763.132,695.31166,1121.42326,4367.75856,4474.46025,4864.75623
Total,313862.104,348086.911,339540.126,346973.213,299819.336,391121.4745,505778.9519,508484.7757,523701.8169,523194.2997
