code,tonnes2015,tonnes2016
Aberdeen City,471.499,345.591
Aberdeenshire,158955.7,184114.247
Angus,305.791,357.546
Argyll & Bute,7087.455,7827.106
Dumfries and Galloway,4685.506,4583.734
East Lothian,615.136,669.495
Edinburgh City,63.397,223.38
Fife,1170.265,1487.688
Highland,55732.213,62204.175
Inverclyde,81.971,66.41
Moray,1137.985,1735.978
Na h-Eileanan Siar,3456.716,4136.807
North Ayrshire,1580.818,2112.526
Orkney,4399.783,4936.151
Scottish Borders,1342.219,1360.025
Shetland,72478.741,71557.382
South Ayrshire,296.909,368.67
